haploidn,tips,sim
17,BGA584,2
17,BGAA1,2
18,B11604,2
17,B983,2
17,BGA303,2
16,BGAB1,2
16,B11609,2
16,B11696,2
15,B3088,2
15,BGA709,2
18,BGA309,2
17,PGA445,2
15,CGA763,2
15,C601,2
15,CGA642,2
16,CGA429,2
16,C3125,2
15,Calboe,2
15,CGA236,2
13,CGA365,2
13,CGA494,2
16,CGA310,2
16,C984,2
15,CGA48,2
15,Cl11778,2
15,C404,2
15,C12265,2
13,C3126,2
15,CGA312,2
16,C3043,2
16,CGA364,2
16,CGA45,2
15,C2208,2
16,CGA311,2
16,CGA501,2
15,C3121,2
16,CGA453,2
15,C3118,2
15,Calparcri,2
14,FGA513,2
15,FGA456,2
13,FGA465,2
14,F12278,2
15,FGA331,2
15,Furant,2
16,FGA581,2
14,FGA15,2
15,FGA99,2
15,F2241,2
15,Furang,2
15,FGA490,2
13,Furpol,2
15,Furcep,2
16,F1476,2
15,FGA104,2
14,FGA489,2
16,F3015,2
14,FGA174,2
13,FurbGB,2
14,FGA379,2
13,Tribit,2
15,Trihoe,2
15,Trijac,2
13,Trijoh,2
15,Trimel,2
15,Triowe,2
14,Tricri,2
14,Triwie,2
15,Triqua,2
15,Kinboe,2
15,Kinfis,2
15,Kinxen,2
17,Bratra,2
18,Bradra,2
17,Bratha,2
17,Bramel,2
16,Braset,2
16,Braven,2
16,Bragut,2
15,Brapum,2
16,Bradam,2
15,Chazey,2
15,Chacaly,2
16,Chaafr,2
15,Chacha,2
16,Chadil,2
16,Chasen,2
15,Chanam,2
14,Rhamar,2
16,Rhatem,2
15,Rhaspe,2
15,BGA584,3
15,BGAA1,3
15,B11604,3
17,B983,3
15,BGA303,3
13,BGAB1,3
16,B11609,3
16,B11696,3
13,B3088,3
16,BGA709,3
15,BGA309,3
17,PGA445,3
15,CGA763,3
15,C601,3
15,CGA642,3
15,CGA429,3
16,C3125,3
16,Calboe,3
17,CGA236,3
16,CGA365,3
16,CGA494,3
15,CGA310,3
17,C984,3
16,CGA48,3
16,Cl11778,3
16,C404,3
15,C12265,3
16,C3126,3
17,CGA312,3
16,C3043,3
17,CGA364,3
17,CGA45,3
20,C2208,3
17,CGA311,3
18,CGA501,3
17,C3121,3
18,CGA453,3
18,C3118,3
18,Calparcri,3
19,FGA513,3
19,FGA456,3
19,FGA465,3
19,F12278,3
19,FGA331,3
19,Furant,3
19,FGA581,3
18,FGA15,3
18,FGA99,3
19,F2241,3
19,Furang,3
19,FGA490,3
19,Furpol,3
19,Furcep,3
17,F1476,3
18,FGA104,3
18,FGA489,3
20,F3015,3
18,FGA174,3
20,FurbGB,3
16,FGA379,3
19,Tribit,3
20,Trihoe,3
20,Trijac,3
19,Trijoh,3
20,Trimel,3
19,Triowe,3
17,Tricri,3
17,Triwie,3
18,Triqua,3
15,Kinboe,3
14,Kinfis,3
18,Kinxen,3
21,Bratra,3
22,Bradra,3
21,Bratha,3
20,Bramel,3
20,Braset,3
20,Braven,3
20,Bragut,3
20,Brapum,3
19,Bradam,3
17,Chazey,3
17,Chacaly,3
18,Chaafr,3
17,Chacha,3
17,Chadil,3
18,Chasen,3
17,Chanam,3
18,Rhamar,3
17,Rhatem,3
16,Rhaspe,3
15,BGA584,4
15,BGAA1,4
14,B11604,4
15,B983,4
16,BGA303,4
14,BGAB1,4
15,B11609,4
17,B11696,4
15,B3088,4
15,BGA709,4
15,BGA309,4
19,PGA445,4
20,CGA763,4
20,C601,4
20,CGA642,4
20,CGA429,4
19,C3125,4
19,Calboe,4
19,CGA236,4
18,CGA365,4
21,CGA494,4
20,CGA310,4
20,C984,4
20,CGA48,4
20,Cl11778,4
20,C404,4
20,C12265,4
19,C3126,4
22,CGA312,4
20,C3043,4
18,CGA364,4
20,CGA45,4
19,C2208,4
22,CGA311,4
20,CGA501,4
20,C3121,4
19,CGA453,4
19,C3118,4
19,Calparcri,4
19,FGA513,4
17,FGA456,4
18,FGA465,4
18,F12278,4
19,FGA331,4
19,Furant,4
19,FGA581,4
19,FGA15,4
19,FGA99,4
16,F2241,4
17,Furang,4
19,FGA490,4
18,Furpol,4
16,Furcep,4
18,F1476,4
20,FGA104,4
19,FGA489,4
19,F3015,4
19,FGA174,4
16,FurbGB,4
18,FGA379,4
18,Tribit,4
19,Trihoe,4
19,Trijac,4
19,Trijoh,4
19,Trimel,4
