haploidn,tips,sim
15,PGA445,2
18,BGAB1,2
19,BGA304,2
17,BGA584,2
16,BGAA2,2
15,BGA89,2
17,B11604,2
18,B199,2
16,B985,2
16,B11609,2
18,B11696,2
16,BGA309,2
16,BGA709,2
15,B3088,2
17,Bradam,2
17,Brapum,2
16,Braven,2
16,Bragut,2
17,Bratra,2
17,Bradra,2
17,Bratha,2
17,Bramel,2
17,Braset,2
16,Chanam,2
15,Chasen,2
14,Chadil,2
16,Chazey,2
15,Chacaly,2
16,Chacha,2
16,Chaafr,2
18,Kinxen,2
20,Kinfis,2
20,Kinboe,2
16,Triqua,2
16,Triwie,2
17,Tricri,2
16,Trijac,2
17,Tribit,2
16,Trihoe,2
18,Trimel,2
17,Trijoh,2
18,Triowe,2
19,Calparcri,2
18,C3121,2
17,CGA501,2
18,CGA453,2
17,C2208,2
17,CGA364,2
17,CGA368,2
17,C3043,2
17,CGA45,2
18,CGA311,2
17,C3134,2
16,CGA594,2
15,Cl11778,2
17,C404,2
17,C12265,2
16,CGA494,2
16,CGA382,2
17,CGA310,2
19,C985,2
17,CGA429,2
16,C3125,2
17,Calboe,2
16,CGA236,2
16,C601,2
16,CGA763,2
17,CGA642,2
19,CGA312,2
18,FurbGB,2
18,FGA174,2
18,FGA489,2
19,FGA104,2
18,FGA581,2
17,FGA15,2
16,FGA99,2
18,FGA465,2
19,FGA331,2
18,Furant,2
17,F12278,2
19,FGA516,2
19,FGA456,2
19,FGA490,2
19,Furang,2
19,F2241,2
19,Furpol,2
19,Furcep,2
17,F1476,2
19,F3016,2
18,FGA379,2
16,Rhatem,2
15,Rhamar,2
15,Rhaspe,2
18,PGA445,3
16,BGAB1,3
17,BGA304,3
15,BGA584,3
17,BGAA2,3
17,BGA89,3
18,B11604,3
19,B199,3
16,B985,3
17,B11609,3
16,B11696,3
16,BGA309,3
14,BGA709,3
13,B3088,3
17,Bradam,3
17,Brapum,3
19,Braven,3
19,Bragut,3
19,Bratra,3
18,Bradra,3
18,Bratha,3
18,Bramel,3
17,Braset,3
17,Chanam,3
16,Chasen,3
16,Chadil,3
17,Chazey,3
18,Chacaly,3
17,Chacha,3
17,Chaafr,3
16,Kinxen,3
18,Kinfis,3
18,Kinboe,3
15,Triqua,3
17,Triwie,3
17,Tricri,3
16,Trijac,3
16,Tribit,3
17,Trihoe,3
18,Trimel,3
17,Trijoh,3
18,Triowe,3
17,Calparcri,3
17,C3121,3
17,CGA501,3
17,CGA453,3
16,C2208,3
14,CGA364,3
15,CGA368,3
15,C3043,3
16,CGA45,3
16,CGA311,3
17,C3134,3
18,CGA594,3
17,Cl11778,3
17,C404,3
17,C12265,3
17,CGA494,3
17,CGA382,3
16,CGA310,3
17,C985,3
17,CGA429,3
17,C3125,3
17,Calboe,3
14,CGA236,3
17,C601,3
17,CGA763,3
17,CGA642,3
17,CGA312,3
19,FurbGB,3
16,FGA174,3
16,FGA489,3
17,FGA104,3
17,FGA581,3
17,FGA15,3
17,FGA99,3
17,FGA465,3
16,FGA331,3
17,Furant,3
17,F12278,3
17,FGA516,3
17,FGA456,3
17,FGA490,3
17,Furang,3
18,F2241,3
17,Furpol,3
17,Furcep,3
15,F1476,3
17,F3016,3
15,FGA379,3
19,Rhatem,3
16,Rhamar,3
17,Rhaspe,3
16,PGA445,4
19,BGAB1,4
19,BGA304,4
17,BGA584,4
18,BGAA2,4
18,BGA89,4
18,B11604,4
18,B199,4
17,B985,4
19,B11609,4
18,B11696,4
15,BGA309,4
18,BGA709,4
19,B3088,4
17,Bradam,4
18,Brapum,4
18,Braven,4
18,Bragut,4
18,Bratra,4
18,Bradra,4
18,Bratha,4
19,Bramel,4
18,Braset,4
18,Chanam,4
17,Chasen,4
15,Chadil,4
15,Chazey,4
15,Chacaly,4
15,Chacha,4
15,Chaafr,4
17,Kinxen,4
17,Kinfis,4
18,Kinboe,4
17,Triqua,4
17,Triwie,4
17,Tricri,4
16,Trijac,4
17,Tribit,4
17,Trihoe,4
14,Trimel,4
15,Trijoh,4
14,Triowe,4
17,Calparcri,4
18,C3121,4
18,CGA501,4
18,CGA453,4
13,C2208,4
13,CGA364,4
13,CGA368,4
13,C3043,4
13,CGA45,4
14,CGA311,4
12,C3134,4
13,CGA594,4
13,Cl11778,4
14,C404,4
12,C12265,4
