haploidn,tips,sim
29,Leiolep,2
33,B3088,2
22,BGA709,2
22,BGA710,2
33,BGA309,2
30,B11696,2
30,B11697,2
31,B11609,2
31,BGA392,2
31,B985,2
31,B983,2
31,B199,2
31,BGAA3,2
31,B11604,2
31,BGA583,2
30,BGA89,2
30,BGA40,2
30,BGAA2,2
30,BGAA1,2
30,BGA584,2
30,BGA706,2
31,BGA304,2
31,BGA303,2
31,BGAB1,2
31,BGA7,2
21,PGA445,2
21,PGA363,2
21,Rhaspe,2
22,Rhamar,2
21,Rhatem,2
29,FGA379,2
29,F647,2
21,F3016,2
21,F3015,2
21,F1476,2
21,FGA81,2
21,Furcep,2
21,Furpol,2
21,F2241,2
21,F12266,2
21,Furang,2
21,Fga490,2
21,FGA456,2
21,FGA516,2
21,FGA513,2
21,F12278,2
21,F12279,2
22,Furant,2
20,FGA331,2
20,FGA332,2
22,FGA465,2
21,FGA99,2
21,F12269,2
21,FGA15,2
21,FGA440,2
21,FGA581,2
21,FGA582,2
21,FGA104,2
21,FGA105,2
22,FGA489,2
21,FGA174,2
21,FGA175,2
21,FurbGB,2
22,CGA312,2
22,CGA963,2
22,CGA642,2
22,CGA763,2
22,CGA764,2
22,C601,2
22,C602,2
22,CGA236,2
41,Calboe,2
22,C3125,2
22,CGA429,2
22,CGA430,2
21,C985,2
21,C984,2
23,CGA310,2
23,CGA314,2
22,CGA382,2
22,CGA365,2
22,CGA494,2
22,CGA495,2
22,C12265,2
41,C404,2
32,Cl11778,2
32,Cl11779,2
32,CGA594,2
32,CGA48,2
23,C3134,2
23,C3126,2
22,CGA311,2
33,CGA45,2
33,CGA46,2
22,C3043,2
22,CGA87,2
22,CGA368,2
22,CGA557,2
22,CGA364,2
22,C2208,2
22,CGA453,2
22,CGA383,2
22,CGA501,2
22,C11776,2
22,C3121,2
22,C3123,2
23,Calparcri,2
22,C3118,2
20,Triowe,2
19,Trijoh,2
21,Trimel,2
20,Trihoe,2
22,Tribit,2
21,Trijac,2
32,Tricri,2
31,Triwie,2
21,Triqua,2
33,Kinboe,2
33,Kinfis,2
22,Kinxen,2
21,Chaafr,2
21,Chacha,2
21,Chacaly,2
31,Chazey,2
21,Chadil,2
21,Chasen,2
21,Chanam,2
21,Riebrev,2
21,Braset,2
21,Bramel,2
21,Bratha,2
21,Bradra,2
21,Bratra,2
21,Bragut,2
22,Braven,2
21,Brapum,2
21,Bradam,2
19,Leiolep,3
19,B3088,3
18,BGA709,3
18,BGA710,3
18,BGA309,3
18,B11696,3
18,B11697,3
18,B11609,3
18,BGA392,3
20,B985,3
20,B983,3
27,B199,3
27,BGAA3,3
18,B11604,3
18,BGA583,3
18,BGA89,3
18,BGA40,3
17,BGAA2,3
17,BGAA1,3
18,BGA584,3
18,BGA706,3
19,BGA304,3
19,BGA303,3
19,BGAB1,3
19,BGA7,3
22,PGA445,3
22,PGA363,3
19,Rhaspe,3
29,Rhamar,3
18,Rhatem,3
19,FGA379,3
19,F647,3
19,F3016,3
19,F3015,3
19,F1476,3
19,FGA81,3
19,Furcep,3
19,Furpol,3
19,F2241,3
19,F12266,3
19,Furang,3
19,Fga490,3
27,FGA456,3
27,FGA516,3
27,FGA513,3
19,F12278,3
19,F12279,3
19,Furant,3
19,FGA331,3
19,FGA332,3
20,FGA465,3
19,FGA99,3
19,F12269,3
19,FGA15,3
19,FGA440,3
19,FGA581,3
19,FGA582,3
19,FGA104,3
19,FGA105,3
19,FGA489,3
19,FGA174,3
19,FGA175,3
20,FurbGB,3
17,CGA312,3
17,CGA963,3
19,CGA642,3
19,CGA763,3
19,CGA764,3
19,C601,3
19,C602,3
19,CGA236,3
19,Calboe,3
18,C3125,3
19,CGA429,3
19,CGA430,3
19,C985,3
19,C984,3
19,CGA310,3
19,CGA314,3
18,CGA382,3
18,CGA365,3
19,CGA494,3
19,CGA495,3
20,C12265,3
21,C404,3
20,Cl11778,3
20,Cl11779,3
20,CGA594,3
20,CGA48,3
19,C3134,3
19,C3126,3
19,CGA311,3
30,CGA45,3
30,CGA46,3
19,C3043,3
19,CGA87,3
19,CGA368,3
19,CGA557,3
19,CGA364,3
20,C2208,3
19,CGA453,3
19,CGA383,3
20,CGA501,3
20,C11776,3
20,C3121,3
20,C3123,3
20,Calparcri,3
19,C3118,3
19,Triowe,3
18,Trijoh,3
18,Trimel,3
19,Trihoe,3
18,Tribit,3
