tips,genus,species,Binomial,chromon,armn,macrop,microp,norpos,norpair,its,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,pair11,pair12,pair13,pair14,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,ref,haploidn,Binomial_Marcello,Realm,Latitude,Longitude,maxSVL,Substrate,Repromode,minClutchSize,maxClutchSize,minBreedingAge,maxBreedingAge
Leiolep,Leiolepis,leiolepis_belliana,Leiolepis belliana,36,NA,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hall, 1970",18,Leiolepis belliana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PGA445,Palleon,palleon_nasus,Palleon nasus,36,48,6,12,micro,NA,NA,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Bourgat, 1971; this study",18,Palleon nasus,Madagascar,-23.01,47.07,49,Arboreal&Terrestrial,Oviparous,NA,NA,NA,NA
PGA363,Palleon,palleon_nasus,Palleon nasus,36,48,6,12,micro,NA,NA,meta,submeta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,"Bourgat, 1971; this study",18,Palleon nasus,Madagascar,-23.01,47.07,49,Arboreal&Terrestrial,Oviparous,NA,NA,NA,NA
B983,Brookesia,brookesia_therezieni,Brookesia therezieni,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia therezieni,Madagascar,-16.74,49.05,53,Terrestrial,Oviparous,NA,NA,NA,NA
B985,Brookesia,brookesia_therezieni,Brookesia therezieni,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia therezieni,Madagascar,-16.74,49.05,53,Terrestrial,Oviparous,NA,NA,NA,NA
BGA584,Brookesia,brookesia_thieli1,Brookesia thieli,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia thieli1,Madagascar,-17.72,48.52,45,Arboreal&Terrestrial,Oviparous,2,4,5,5
BGA706,Brookesia,brookesia_thieli1,Brookesia thieli,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia thieli1,Madagascar,-17.72,48.52,45,Arboreal&Terrestrial,Oviparous,2,4,5,5
BGA303,Brookesia,brookesia_ambreensis,Brookesia ambreensis,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia ambreensis,Madagascar,-12.51,49.17,55,Terrestrial,Oviparous,2,2,NA,NA
BGA304,Brookesia,brookesia_ambreensis,Brookesia ambreensis,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia ambreensis,Madagascar,-12.51,49.17,55,Terrestrial,Oviparous,2,2,NA,NA
B11609,Brookesia,brookesia_decaryi,Brookesia decaryi,36,48,6,12,micro,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia decaryi,Madagascar,-16.31,46.94,53,Terrestrial,Oviparous,2,5,NA,NA
BGA392,Brookesia,brookesia_decaryi,Brookesia decaryi,36,48,6,12,micro,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia decaryi,Madagascar,-16.31,46.94,53,Terrestrial,Oviparous,2,5,NA,NA
BGAA1,Brookesia,brookesia_boetchy,Brookesia boetchy,36,48,6,12,micro,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia boetchy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGAA2,Brookesia,brookesia_boetchy,Brookesia boetchy,36,48,6,12,micro,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia boetchy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGA89,Brookesia,brookesia_thieli2,Brookesia thieli,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia thieli2,Madagascar,-17.72,48.52,45,Arboreal&Terrestrial,Oviparous,2,4,5,5
BGA40,Brookesia,brookesia_thieli2,Brookesia thieli,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia thieli2,Madagascar,-17.72,48.52,45,Arboreal&Terrestrial,Oviparous,2,4,5,5
B11696,Brookesia,brookesia_brygooi,Brookesia brygooi,36,48,6,12,micro,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia brygooi,Madagascar,-19.31,44.96,52,Terrestrial,Oviparous,2,5,12,12
B11697,Brookesia,brookesia_brygooi,Brookesia brygooi,36,48,6,12,micro,NA,NA,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia brygooi,Madagascar,-19.31,44.96,52,Terrestrial,Oviparous,2,5,12,12
B11604,Brookesia,brookesia_superciliaris,Brookesia superciliaris,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia superciliaris,Madagascar,-18.87,48.51,54,Arboreal&Terrestrial,Oviparous,2,5,4,5
BGA583,Brookesia,brookesia_superciliaris,Brookesia superciliaris,36,48,6,12,micro,NA,0,meta,meta,meta,meta,meta,meta,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,this study,18,Brookesia superciliaris,Madagascar,-18.87,48.51,54,Arboreal&Terrestrial,Oviparous,2,5,4,5
