sim_haploidn,tips,sim
19,B3088,1
12,BGA709,1
18,BGA309,1
18,B11696,1
12,B11609,1
17,B985,1
11,B199,1
15,B11604,1
11,BGA89,1
18,BGAA2,1
12,BGA584,1
12,BGA304,1
11,BGAB1,1
17,PGA445,1
18,Rhaspe,1
12,Rhamar,1
18,Rhatem,1
16,FGA379,1
16,F3016,1
18,F1476,1
12,Furcep,1
18,Furpol,1
18,F2241,1
14,Furang,1
18,FGA490,1
18,FGA456,1
18,FGA516,1
18,F12278,1
14,Furant,1
18,FGA331,1
11,FGA465,1
18,FGA99,1
11,FGA15,1
17,FGA581,1
16,FGA104,1
18,FGA489,1
18,FGA174,1
18,FurbGB,1
10,CGA312,1
18,CGA642,1
12,CGA763,1
12,C601,1
17,CGA236,1
11,Calboe,1
17,C3125,1
11,CGA429,1
18,C985,1
14,CGA310,1
18,CGA382,1
17,CGA494,1
18,C12265,1
12,C404,1
17,Cl11778,1
12,CGA594,1
12,C3134,1
17,CGA311,1
17,CGA45,1
15,C3043,1
18,CGA368,1
17,CGA364,1
18,C2208,1
18,CGA453,1
12,CGA501,1
18,C3121,1
12,Calparcri,1
18,Triowe,1
18,Trijoh,1
18,Trimel,1
19,Trihoe,1
15,Tribit,1
18,Trijac,1
10,Tricri,1
18,Triwie,1
11,Triqua,1
11,Kinboe,1
12,Kinfis,1
11,Kinxen,1
13,Chaafr,1
14,Chacha,1
12,Chacaly,1
18,Chazey,1
18,Chadil,1
12,Chasen,1
17,Chanam,1
15,Braset,1
18,Bramel,1
17,Bratha,1
17,Bradra,1
18,Bratra,1
14,Bragut,1
17,Braven,1
14,Brapum,1
12,Bradam,1
12,B3088,2
18,BGA709,2
18,BGA309,2
18,B11696,2
12,B11609,2
18,B985,2
18,B199,2
18,B11604,2
12,BGA89,2
18,BGAA2,2
12,BGA584,2
13,BGA304,2
17,BGAB1,2
11,PGA445,2
18,Rhaspe,2
18,Rhamar,2
12,Rhatem,2
15,FGA379,2
18,F3016,2
17,F1476,2
17,Furcep,2
17,Furpol,2
18,F2241,2
18,Furang,2
18,FGA490,2
16,FGA456,2
14,FGA516,2
18,F12278,2
12,Furant,2
11,FGA331,2
18,FGA465,2
15,FGA99,2
11,FGA15,2
11,FGA581,2
19,FGA104,2
11,FGA489,2
18,FGA174,2
17,FurbGB,2
18,CGA312,2
18,CGA642,2
18,CGA763,2
17,C601,2
16,CGA236,2
11,Calboe,2
18,C3125,2
17,CGA429,2
17,C985,2
10,CGA310,2
16,CGA382,2
11,CGA494,2
18,C12265,2
18,C404,2
11,Cl11778,2
12,CGA594,2
12,C3134,2
18,CGA311,2
18,CGA45,2
17,C3043,2
18,CGA368,2
12,CGA364,2
12,C2208,2
12,CGA453,2
11,CGA501,2
18,C3121,2
17,Calparcri,2
12,Triowe,2
12,Trijoh,2
17,Trimel,2
17,Trihoe,2
18,Tribit,2
12,Trijac,2
14,Tricri,2
12,Triwie,2
15,Triqua,2
10,Kinboe,2
14,Kinfis,2
18,Kinxen,2
18,Chaafr,2
18,Chacha,2
14,Chacaly,2
12,Chazey,2
11,Chadil,2
14,Chasen,2
18,Chanam,2
18,Braset,2
17,Bramel,2
12,Bratha,2
18,Bradra,2
14,Bratra,2
19,Bragut,2
17,Braven,2
15,Brapum,2
18,Bradam,2
10,B3088,3
12,BGA709,3
17,BGA309,3
18,B11696,3
15,B11609,3
18,B985,3
18,B199,3
17,B11604,3
11,BGA89,3
18,BGAA2,3
10,BGA584,3
12,BGA304,3
17,BGAB1,3
11,PGA445,3
12,Rhaspe,3
12,Rhamar,3
11,Rhatem,3
11,FGA379,3
12,F3016,3
11,F1476,3
12,Furcep,3
11,Furpol,3
12,F2241,3
12,Furang,3
18,FGA490,3
14,FGA456,3
18,FGA516,3
18,F12278,3
14,Furant,3
17,FGA331,3
18,FGA465,3
18,FGA99,3
12,FGA15,3
12,FGA581,3
17,FGA104,3
18,FGA489,3
17,FGA174,3
17,FurbGB,3
18,CGA312,3
12,CGA642,3
18,CGA763,3
19,C601,3
