name,MODEL,AIC,AICw,C_lossC,C_gainC,CR_lossC,CR_gainC,CR_dup,CD_lossC,CD_gainC,CD_dup,CDE_lossC,CDE_gainC,CDE_dup,CDE_demi,L_lossC,L_gainC,L_lossL,L_gainL,LR_lossC,LR_gainC,LR_lossL,LR_gainL,LR_dup,LD_lossC,LD_gainC,LD_lossL,LD_gainL,LD_dup,LDE_lossC,LDE_gainC,LDE_lossL,LDE_gainL,LDE_dup,LDE_demi
1,CONST_RATE,344.1,0.576,,,0.032812685,0.016247443,3.58E-04,,,,,,,,,0,-3.97E-04,0.002423213,0.029634701,3.18E-04,7.94E-05,0.001191744,3.58E-04,0.029674426,3.97E-04,7.94E-05,0.001191744,1.99E-04,0.033011309,0.023954054,-1.59E-04,-5.16E-04,3.58E-04,0
1,CONST_RATE_DEMI,345.4,0.301,,,,,,0.03277296,0.016326893,1.59E-04,,,,,,0,-3.97E-04,0.002423213,0.029634701,3.18E-04,7.94E-05,0.001191744,3.58E-04,0.029674426,3.97E-04,7.94E-05,0.001191744,1.99E-04,0.033011309,0.023954054,-1.59E-04,-5.16E-04,3.58E-04,0
1,CONST_RATE_DEMI_EST,351.3,0.016,,,,,,,,,0.016684416,0.009970925,0,0.003257434,,0,-3.97E-04,0.002423213,0.029634701,3.18E-04,7.94E-05,0.001191744,3.58E-04,0.029674426,3.97E-04,7.94E-05,0.001191744,1.99E-04,0.033011309,0.023954054,-1.59E-04,-5.16E-04,3.58E-04,0
1,CONST_RATE_NO_DUPL,370.9,0,0.037301587,0.037976909,,,,,,,,,,,,0,-3.97E-04,0.002423213,0.029634701,3.18E-04,7.94E-05,0.001191744,3.58E-04,0.029674426,3.97E-04,7.94E-05,0.001191744,1.99E-04,0.033011309,0.023954054,-1.59E-04,-5.16E-04,3.58E-04,0
1,LINEAR_RATE,349,0.05,,,,,,,,,,,,,,,-3.97E-04,0.002423213,0.029634701,3.18E-04,7.94E-05,0.001191744,3.58E-04,0.029674426,3.97E-04,7.94E-05,0.001191744,1.99E-04,0.033011309,0.023954054,-1.59E-04,-5.16E-04,3.58E-04,0
1,LINEAR_RATE_DEMI,350.2,0.027,,,,,,,,,,,,,,,-3.97E-04,0.002423213,0.029634701,3.18E-04,7.94E-05,0.001191744,3.58E-04,0.029674426,3.97E-04,7.94E-05,0.001191744,1.99E-04,0.033011309,0.023954054,-1.59E-04,-5.16E-04,3.58E-04,0
1,LINEAR_RATE_DEMI_EST,350,0.03,,,,,,,,,,,,,,,-3.97E-04,0.002423213,0.029634701,3.18E-04,7.94E-05,0.001191744,3.58E-04,0.029674426,3.97E-04,7.94E-05,0.001191744,1.99E-04,0.033011309,0.023954054,-1.59E-04,-5.16E-04,3.58E-04,0
1,LINEAR_RATE_NO_DUPL,365.5,0,,,,,,,,,,,,,0.036348192,0,,,,,,,,,,,,,,,,,,
2,CONST_RATE,343.1,0.477,,,0.037619386,0.01382423,3.97E-04,,,,,,,0,0.041949389,0,-3.18E-04,0.00198624,0.028681306,0.004449178,3.58E-04,6.36E-04,3.58E-04,0.032216813,0.001708166,7.94E-05,8.74E-04,1.59E-04,0.030310022,0.008223034,1.99E-04,3.58E-04,3.58E-04,0
2,CONST_RATE_DEMI,344.3,0.262,0.040837094,0.03078672,0.037619386,0.01382423,3.97E-04,0.035990669,0.01382423,1.99E-04,0.037182413,0.014300928,3.58E-04,0,0.041949389,0,-3.18E-04,0.00198624,0.028681306,0.004449178,3.58E-04,6.36E-04,3.58E-04,0.032216813,0.001708166,7.94E-05,8.74E-04,1.59E-04,0.030310022,0.008223034,1.99E-04,3.58E-04,3.58E-04,0
